what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299539279770
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299539309507
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299539311094
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1299539312380
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299539338909
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1299539340833
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1299539342138
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1299539343593
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.format",1299539345085
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1299539348361
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1299539349705
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1299539350355
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1299539351445
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1299539352095
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1299539352620
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299539355339
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299539362697
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299539365648
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299539367702
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299539367747
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299539372008
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299539372477
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1299539373060
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1299539373062
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1299539373063
