what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299546266001
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299546267546
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1299546270684
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299546295659
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1299546300223
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1299546307742
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1299546315193
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299546328532
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299546330074
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1299546337516
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299546345191
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1299546350618
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299546354927
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299546356662
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1299546360388
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299546376412
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299546390909
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299546392303
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1299546393863
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299546398831
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299546418864
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1299546420456
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1299546422162
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1299546443533
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1299546445964
